Name,Team,Salary
Phil Dawson,SF,5100
AJ Jenkins,KC,5100
Damaris Johnson,HOU,5100
Graham Gano,CAR,5100
Mike Nugent,CIN,5100
Jermaine Gresham,CIN,5100
Alfred Blue,HOU,5100
Jace Amaro,NYJ,5100
Adam Vinatieri,IND,5100
Patriots,NE,5100
Coby Fleener,IND,5100
Khiry Robinson,NO,5100
Luke Willson,SEA,5100
Cardinals,ARI,5100
Daniel Fells,NYG,5100
Maurice Jones-Drew,OAK,5100
Dolphins,MIA,5100
Josh Johnson,SF,5000
Cooper Helfet,SEA,5000
Brice Butler,OAK,5000
Dane Sanzenbacher,CIN,5000
Rishard Matthews,MIA,5000
Tyrod Taylor,BAL,5000
Kellen Clemens,SD,5000
Kai Forbath,WAS,5000
Case Keenum,STL,5000
Landry Jones,PIT,5000
Austin Seferian-Jenkins,TB,5000
Chase Daniel,KC,5000
Tom Savage,HOU,5000
Mark Sanchez,PHI,5000
Ryan Nassib,NYG,5000
Dustin Vaughan,DAL,5000
Taylor Gabriel,CLE,5000
Cody Parkey,PHI,5000
Brock Osweiler,DEN,5000
Matt Hasselbeck,IND,5000
Mychal Rivera,OAK,5000
Tarvaris Jackson,SEA,5000
Shaun Hill,STL,5000
Tajh Boyd,,5000
Matt McGloin,OAK,5000
Josh Brown,NYG,5000
Corey (Philly) Brown,,5000
Bruce Gradkowski,PIT,5000
Jason Campbell,CIN,5000
Aaron Murray,KC,5000
Eagles,PHI,5000
Lance Dunbar,DAL,5000
Anthony Fasano,KC,5000
Blaine Gabbert,SF,5000
Matt Barkley,PHI,5000
Chase Ford,MIN,5000
Austin Pettis,,5000
Steven Hauschka,SEA,5000
Matt Moore,MIA,5000
Chris Ogbonnaya,CAR,5000
Allen Hurns,JAX,5000
Luke McCown,NO,5000
Brandon Weeden,DAL,5000
Josh Huff,PHI,4900
Mike James,TB,4900
Danny Amendola,NE,4900
Donnie Avery,KC,4900
Chandler Catanzaro,ARI,4900
Greg Little,CIN,4900
Jeff Cumberland,NYJ,4900
Darrel Young,WAS,4900
Jim Dray,CLE,4900
Tauren Poole,,4900
Broncos,DEN,4900
Vikings,MIN,4900
Rod Streater,OAK,4900
Shaun Suisham,PIT,4900
Hakeem Nicks,IND,4900
Jimmy Garoppolo,NE,4900
CJ Anderson,DEN,4900
Jared Cook,STL,4900
Albert Wilson,KC,4900
Jarius Wright,MIN,4900
Crockett Gillmore,BAL,4900
Andre Roberts,WAS,4900
Tavon Austin,STL,4900
Brian Hartline,MIA,4900
Charles Clay,MIA,4900
