id,name,position,age,team_name,pos_code,team_code
2991043,"Caris LeVert",SG,23,"Brooklyn Nets",SG,Bkn
3136477,"Isaiah Whitehead",SG,22,"Brooklyn Nets",SG,Bkn
3059276,"Jamel Artis",SG,25,"Orlando Magic",SG,Orl
2580349,"Ron Baker",SG,24,"New York Knicks",SG,NY
2991149,"Damyean Dotson",SG,23,"New York Knicks",SG,NY
2999409,"Willy Hernangomez",C,23,"Charlotte Bobcats",C,Cha
3064560,"Luke Kornet",PF,22,"New York Knicks",PF,NY
4230547,"Frank Ntilikina",PG,19,"New York Knicks",PG,NY
2995702,"Alex Abrines",SG,24,"Oklahoma City Thunder",SG,OkC
4230546,"Terrance Ferguson",SG,19,"Oklahoma City Thunder",SG,OkC
3147351,"Daniel Hamilton",SG,22,"Oklahoma City Thunder",SG,OkC
3064516,"Dakari Johnson",C,22,"Oklahoma City Thunder",C,OkC
2578240,"Khem Birch",C,25,"Orlando Magic",C,Orl
4065654,"Jonathan Isaac",PF,20,"Orlando Magic",PF,Orl
3074797,"Wesley Iwundu",SF,23,"Orlando Magic",SF,Orl
4066636,"Markelle Fultz",PG,19,"Philadelphia 76ers",PG,Phi
3929325,"Furkan Korkmaz",SG,20,"Philadelphia 76ers",SG,Phi
3893019,"Timothe LuwawuCabarrot",SG,22,"Philadelphia 76ers",SG,Phi
3032978,"Dario Saric",PF,23,"Philadelphia 76ers",PF,Phi
3907387,"Ben Simmons",PG,21,"Philadelphia 76ers",PG,Phi
3037789,"Bogdan Bogdanovic",SG,25,"Sacramento Kings",SG,Sac
4066259,"De'Aaron Fox",PG,20,"Sacramento Kings",PG,Sac
4065649,"Harry Giles",PF,19,"Sacramento Kings",PF,Sac
2990984,"Buddy Hield",SG,24,"Sacramento Kings",SG,Sac
3138156,"Justin Jackson",SF,22,"Sacramento Kings",SF,Sac
3936296,"Skal Labissiere",PF,21,"Sacramento Kings",PF,Sac
3059315,"Frank Mason III",PG,23,"Sacramento Kings",PG,Sac
3059286,"London Perrantes",PG,23,"Cleveland Cavaliers",PG,Cle
3137798,"Devin Robinson",SF,22,"Washington Wizards",SF,Wsh
6621,"Tomas Satoransky",SF,26,"Washington Wizards",SF,Wsh
3079021,"James Webb III",SF,24,"Brooklyn Nets",SF,Bkn
3899663,"Dimitrios Agravanis",PF,23,"Sacramento Kings",PF,Sac
