Position	Player	Team	Salary
WR	Josh Gordon	CLE	4000
QB	Brandon Weeden	TEN	4000
QB	Taysom Hill	NO	4000
WR	Willie Snead	NO	4000
QB	Brandon Allen	LAR	4000
WR	Robert Woods	LAR	4000
QB	Drew Stanton	ARI	4000
WR	J.J. Nelson	ARI	4000
RB	Kenyan Drake	MIA	4000
QB	Bryce Petty	NYJ	4000
QB	Christian Hackenberg	NYJ	4000
QB	Teddy Bridgewater	MIN	4000
QB	Kyle Sloter	MIN	4000
RB	Latavius Murray	MIN	4000
QB	Ryan Mallett	BAL	4000
RB	Alex Collins	BAL	4000
QB	Jeff Driskel	CIN	4000
QB	Joshua Dobbs	PIT	4000
QB	Kellen Moore	DAL	4000
QB	Paxton Lynch	DEN	4000
QB	Chad Kelly	DEN	4000
QB	Kellen Clemens	LAC	4000
RB	Branden Oliver	LAC	4000
WR	Tyrell Williams	LAC	4000
QB	Davis Webb	NYG	4000
DST	Seahawks 	SEA	4000
RB	Malcolm Brown	LAR	3900
RB	Terrance West	BAL	3900
WR	Terrance Williams	DAL	3900
WR	Marquise Goodwin	SF	3900
RB	Wayne Gallman	NYG	3900
RB	Eddie Lacy	SEA	3900
RB	Mike Tolbert	BUF	3800
RB	Jonathan Stewart	CAR	3800
WR	Russell Shepard	CAR	3800
RB	Corey Grant	JAX	3800
TE	Kyle Rudolph	MIN	3800
RB	Giovani Bernard	CIN	3800
WR	JuJu Smith-Schuster	PIT	3800
WR	Roger Lewis	NYG	3800
WR	Jordan Matthews	BUF	3700
WR	Kendall Wright	CHI	3700
WR	Curtis Samuel	CAR	3700
RB	Robert Turbin	IND	3700
DST	Jaguars 	JAX	3700
RB	Damien Williams	MIA	3700
RB	Danny Woodhead	BAL	3700
WR	Brice Butler	DAL	3700
WR	Aldrick Robinson	SF	3700
RB	Orleans Darkwa	NYG	3700
WR	Zay Jones	BUF	3600
DST	Panthers 	CAR	3600
TE	George Kittle	SF	3600
RB	De'Angelo Henderson	DEN	3600
RB	Shane Vereen	NYG	3600
WR	Brandon Tate	BUF	3500
RB	Charles Sims	TB	3500
TE	Ed Dickson	CAR	3500
WR	Geronimo Allison	GB	3500
DST	Cowboys 	DAL	3500
RB	Devontae Booker	DEN	3500
DST	Broncos 	DEN	3500
RB	Austin Ekeler	LAC	3500
WR	Andre Holmes	BUF	3400
DST	Bills 	BUF	3400
WR	Kasen Williams	CLE	3400
DST	Titans 	TEN	3400
TE	Jack Doyle	IND	3400
RB	Jeremy Hill	CIN	3400
WR	Mike Williams	LAC	3400
WR	Taywan Taylor	TEN	3300
WR	Jeff Janis	GB	3300
TE	Martellus Bennett	GB	3300
WR	Brandon Coleman	NO	3300
WR	Donte Moncrief	IND	3300
WR	Laquon Treadwell	MIN	3300
DST	Vikings 	MIN	3300
WR	Michael Campanaro	BAL	3300
WR	Brandon LaFell	CIN	3300
RB	Rod Smith	DAL	3300
WR	Bennie Fowler	DEN	3300
WR	Travis Benjamin	LAC	3300
RB	Paul Perkins	NYG	3300
WR	Travis Rudolph	NYG	3300
WR	Ed Eagan	NYG	3300
WR	Tavarres King	NYG	3300
RB	J.D. McKissic	SEA	3300
WR	Markus Wheaton	CHI	3200
TE	Zach Miller	CHI	3200
WR	Rashard Higgins	CLE	3200
WR	Jaelen Strong	JAX	3200
RB	Kerwynn Williams	ARI	3200
WR	Michael Floyd	MIN	3200
WR	John Ross	CIN	3200
DST	Steelers 	PIT	3200
WR	Trent Taylor	SF	3200
TE	Nick O'Leary	BUF	3100
WR	Tavon Austin	LAR	3100
WR	Jakeem Grant	MIA	3100
DST	Dolphins 	MIA	3100
WR	Tyler Boyd	CIN	3100
RB	Taiwan Jones	BUF	3000
RB	Joe Banyard	BUF	3000
RB	Patrick DiMarco	BUF	3000
WR	Walter Powell	BUF	3000
WR	Kaelin Clay	BUF	3000
RB	Peyton Barber	TB	3000
WR	Chris Godwin	TB	3000
WR	Bernard Reedy	TB	3000
RB	Taquan Mizzell	CHI	3000
RB	Benny Cunningham	CHI	3000
RB	Michael Burton	CHI	3000
WR	Josh Bellamy	CHI	3000
WR	Tanner Gentry	CHI	3000
WR	Tre McBride	CHI	3000
RB	Fozzy Whittaker	CAR	3000
RB	Alex Armah	CAR	3000
RB	Cameron Artis-Payne	CAR	3000
WR	Damiere Byrd	CAR	3000
RB	Danny Vitale	CLE	3000
RB	Matthew Dayes	CLE	3000
WR	Sammie Coates	CLE	3000
WR	Bryce Treggs	CLE	3000
WR	James Wright	CLE	3000
RB	David Fluellen	TEN	3000
RB	Jalston Fowler	TEN	3000
WR	Darius Jennings	TEN	3000
WR	Eric Weems	TEN	3000
RB	Devante Mays	GB	3000
RB	Aaron Ripkowski	GB	3000
WR	Trevor Davis	GB	3000
RB	Zach Line	NO	3000
RB	Trey Edmunds	NO	3000
WR	Tommylee Lewis	NO	3000
WR	Austin Carr	NO	3000
TE	Coby Fleener	NO	3000
DST	Saints 	NO	3000
RB	George Winn	IND	3000
RB	Matt Jones	IND	3000
WR	Quan Bray	IND	3000
WR	Chester Rogers	IND	3000
WR	Kamar Aiken	IND	3000
RB	Tommy Bohanon	JAX	3000
WR	Keelan Cole	JAX	3000
WR	Max McCaffrey	JAX	3000
WR	Arrelious Benn	JAX	3000
WR	Dede Westbrook	JAX	3000
RB	Justin Davis	LAR	3000
RB	Lance Dunbar	LAR	3000
WR	Michael Thomas	LAR	3000
WR	Josh Reynolds	LAR	3000
WR	Pharoh Cooper	LAR	3000
RB	Elijhaa Penny	ARI	3000
RB	D.J. Foster	ARI	3000
RB	T.J. Logan	ARI	3000
WR	Brittan Golden	ARI	3000
WR	Chad Williams	ARI	3000
RB	Senorise Perry	MIA	3000
WR	Rashawn Scott	MIA	3000
WR	Leonte Carroo	MIA	3000
WR	Isaiah Ford	MIA	3000
RB	Travaris Cadet	NYJ	3000
RB	Lawrence Thomas	NYJ	3000
WR	Jalin Marshall	NYJ	3000
WR	Lucky Whitehead	NYJ	3000
WR	ArDarius Stewart	NYJ	3000
WR	Chad Hansen	NYJ	3000
DST	Jets 	NYJ	3000
RB	C.J. Ham	MIN	3000
WR	Rodney Adams	MIN	3000
WR	Stacy Coley	MIN	3000
WR	Jarius Wright	MIN	3000
RB	Bobby Rainey	BAL	3000
WR	Chris Matthews	BAL	3000
WR	Chris Moore	BAL	3000
WR	Breshad Perriman	BAL	3000
TE	Benjamin Watson	BAL	3000
RB	Tra Carson	CIN	3000
WR	Josh Malone	CIN	3000
WR	Alex Erickson	CIN	3000
WR	Cody Core	CIN	3000
TE	Tyler Kroft	CIN	3000
RB	Terrell Watson	PIT	3000
RB	Roosevelt Nix	PIT	3000
WR	Eli Rogers	PIT	3000
WR	Justin Hunter	PIT	3000
WR	Darrius Heyward-Bey	PIT	3000
RB	Keith Smith	DAL	3000
WR	Ryan Switzer	DAL	3000
WR	Noah Brown	DAL	3000
RB	Raheem Mostert	SF	3000
RB	Kyle Juszczyk	SF	3000
WR	Kendrick Bourne	SF	3000
WR	Victor Bolden Jr.	SF	3000
RB	Andy Janovich	DEN	3000
WR	Jordan Taylor	DEN	3000
WR	Cody Latimer	DEN	3000
WR	Isaiah McKenzie	DEN	3000
RB	Andre Williams	LAC	3000
RB	Derek Watt	LAC	3000
WR	Dontrelle Inman	LAC	3000
RB	Tre Madden	SEA	3000
WR	Tanner McEvoy	SEA	3000
WR	Amara Darboh	SEA	3000
TE	David Njoku	CLE	2900
DST	Ravens 	BAL	2900
TE	Jesse James	PIT	2900
DST	Colts 	IND	2800
TE	A.J. Derby	DEN	2800
TE	Antonio Gates	LAC	2800
DST	Buccaneers 	TB	2700
TE	Tyler Higbee	LAR	2700
TE	Logan Thomas	BUF	2600
