Name,Team,Salary
Jiri Sekac,MTL,4997
Jiri Tlusty,CAR,5081
Joakim Andersson,DET,3250
Joakim Lindstrom,STL,3090
Joakim Nordstrom,CHI,2619
Joe Colborne,CGY,5860
Joe Morrow,BOS,2557
Joe Pavelski, SJ,7271
Joe Thornton, SJ,6654
Joe Vitale,ARI,3719
Joe Whitney,NJ,3752
Joel Ward,WSH,5036
Joffrey Lupul,TOR,6547
Johan Franzen,DET,6111
Johan Larsson,BUF,3002
John Carlson,WSH,7258
John Klingberg,DAL,5918
John Mitchell,COL,5128
John Moore,NYR,2802
John Scott, SJ,2649
John Tavares,NYI,7683
John-Michael Liles,CAR,3382
Johnny Boychuk,NYI,5490
Johnny Gaudreau,CGY,6610
Johnny Oduya,CHI,3052
Jon Merrill,NJ,4660
Jonas Brodin,MIN,2861
Jonathan Drouin,TB,4973
Jonathan Ericsson,DET,3711
Jonathan Huberdeau,FLA,5643
Jonathan Marchessault,TB,1816
Jonathan Toews,CHI,7060
Jonathon Blum,MIN,3503
Jordan Caron,BOS,1640
Jordan Eberle,EDM,5746
Jordan Leopold,STL/CBJ,3245
Jordan Martinook,ARI,1954
Jordan Nolan,L A,2241
Jordan Schroeder,MIN,1966
Jordan Staal,CAR,5945
Jordie Benn,DAL,3824
Jordin Tootoo,NJ,2811
Jori Lehtera,STL,5973
Josh Anderson,CBJ,1852
Josh Bailey,NYI,5918
Josh Gorges,BUF,4482
Josh Jooris,CGY,5132
Josh Leivo,TOR,2783
Josh Manson,ANA,2332
Jussi Jokinen,FLA,5668
Justin Abdelkader,DET,5795
Justin Braun, SJ,5257
Justin Falk,MIN,1837
Justin Faulk,CAR,5573
Justin Fontaine,MIN,3724
Justin Hodgman,ARI,3733
Justin Schultz,EDM,4323
Justin Williams,L A,5257
Jyrki Jokipakka,DAL,4050
Karl Alzner,WSH,4070
Karl Stollery,COL,1856
Keith Aulie,EDM,1895
Keith Ballard,MIN,2492
Keith Yandle,ARI,5804
Kerby Rychel,CBJ,5959
Kevan Miller,BOS,3342
Kevin Bieksa,VAN,3679
Kevin Connauton,DAL/CBJ,5007
Kevin Hayes,NYR,4525
Kevin Klein,NYR,4899
Kevin Shattenkirk,STL,6632
Klas Dahlbeck,CHI,3812
Korbinian Holzer,TOR,3739
Kris Letang,PIT,7055
Kris Russell,CGY,4766
Kris Versteeg,CHI,6768
Kyle Brodziak,MIN,4397
Kyle Chipchura,ARI,3880
Kyle Clifford,L A,3173
Kyle Okposo,NYI,7043
Kyle Palmieri,ANA,6021
Kyle Quincey,DET,4083
Kyle Turris,OTT,6213
Ladislav Smid,CGY,2476
Lance Bouma,CGY,4731
Lars Eller,MTL,4850
Lauri Korpikoski,ARI,4860
Lee Stempniak,NYR,4283
Leo Komarov,TOR,6476
Leon Draisaitl,EDM,3377
Liam O'brien,WSH,2904
Linden Vey,VAN,4501
Logan Couture, SJ,7003
Loui Eriksson,BOS,5801
Lubomir Visnovsky,NYI,4355
Luca Sbisa,VAN,3120
Lucas Lessio,ARI,2746
Luke Gazdic,EDM,1705
Luke Glendening,DET,3853
Luke Schenn,PHI,3518
Magnus Paajarvi,STL,2467
Manny Malhotra,MTL,2933
Marc Methot,OTT,2923
Marc Staal,NYR,3709
Marc-Andre Cliche,COL,3379
Marc-Edouard Vlasic, SJ,4472
Marcel Goc,PIT,3244
Marco Scandella,MIN,4988
Marcus Foligno,BUF,4578
Marcu SJohansson,WSH,5221
Marcus Kruger,CHI,4208
Marek Zidlicky,NJ,4813
Marian Gaborik,L A,6762
Marian Hossa,CHI,6339
Mark Arcobello,EDM/NSH/PIT,4396
Mark Barberio,TB,2482
Mark Borowiecki,OTT,3771
Mark Fayne,EDM,3622
Mark Fistric,ANA,1927
Mark Fraser,NJ,2929
Mark Giordano,CGY,7574
Mark Letestu,CBJ,4765
Mark Pysyk,BUF,3809
Mark Scheifele,WPG,5135
Mark Stone,OTT,5928
Mark Streit,PHI,6030
Mark Stuart,WPG,4610
Marko Dano,CBJ,3597
Markus Granlund,CGY,4749
Martin Erat,ARI,4701
Martin Hanzal,ARI,6574
Martin Havlat,NJ,4890
Martin Marincin,EDM,2629
Martin St  louis,NYR,7069
Mason Raymond,CGY,4558
Mat Clark,ANA,2943
Mathieu Perreault,WPG,5472
Mats Zuccarello,NYR,5488
MatTBartkowski,BOS,3461
MatTBeleskey,ANA,5027
Matt Calvert,CBJ,4725
Matt Carle,TB,3975
Matt Cooke,MIN,4509
Matt Cullen,NSH,4152
Matt Donovan,NYI,4244
Matt Duchene,COL,6127
Matt Dumba,MIN,3212
Matt Ellis,BUF,1696
Matt Fraser,BOS/EDM,3297
Matt Greene,L A,3408
Matt Halischuk,WPG,2833
Matt Hendricks,EDM,4226
Matt Hunwick,NYR,3375
Matt Irwin, SJ,3572
Matt Martin,NYI,2881
Matt Moulson,BUF,5320
Matt Nieto, SJ,3765
Matt Niskanen,WSH,4432
Matt Read,PHI,5314
Matt Stajan,CGY,4133
Matt Tennyson, SJ,3277
Mattias Ekholm,NSH,3760
Max Pacioretty,MTL,7797
Max Reinhart,CGY,1746
Maxim Lapierre,STL,3747
Maxime Talbot,COL,4471
Melker Karlsson, SJ,6232
Michael Bournival,MTL,3344
Michael Chaput,CBJ,3397
Michael Del zotto,PHI,4663
Michael Ferland,CGY,2569
Michael Frolik,WPG,5503
Michael Grabner,NYI,5464
Michael Kostka,NYR,2908
Michael Latta,WSH,2740
Michael Raffl,PHI,4337
Michael Ryder,NJ,5135
Michael Sgarbossa,COL,4127
Michael Stone,ARI,4014
Michal Jordan,CAR,1795
Michal Rozsival,CHI,2821
Micheal Haley, SJ,1643
Miikka Salomaki,NSH,9077
Mika Zibanejad,OTT,5066
Mikael Backlund,CGY,6511
Mikael Granlund,MIN,4656
Mike Brown, SJ,1767
Mike Cammalleri,NJ,6595
Mike Fisher,NSH,7217
Mike Green,WSH,5798
Mike Hoffman,OTT,5591
Mike Ribeiro,NSH,6832
Mike Richards,L A,4279
Mike Santorelli,TOR,6230
Mike Sislo,NJ,2561
Mike Weaver,MTL,3442
Mike Weber,BUF,3957
Mikhail Grabovski,NYI,4138
Mikhail Grigorenko,BUF,3169
Mikkel Boedker,ARI,5995
Mikko Koivu,MIN,4699
Milan Lucic,BOS,5554
Milan Michalek,OTT,4377
Mirco Mueller, SJ,2797
Morgan Rielly,TOR,4035
Nail Yakupov,EDM,3717
Nate Prosser,MIN,3165
Nate Schmidt,WSH,2412
Nate Thompson,ANA,3793
Nathan Beaulieu,MTL,2582
Nathan Gerbe,CAR,4304
Nathan Guenin,COL,4181
Nathan MacKinnon,COL,5564
Nazem Kadri,TOR,5868
Nick Bjugstad,FLA,5804
Nick Bonino,VAN,5668
Nick Foligno,CBJ,8619
Nick Holden,COL,4219
Nick Leddy,NYI,4004
Nick Schultz,PHI,3913
Nick Spaling,PIT,4863
Nicklas Backstrom,WSH,7831
Nicklas Grossmann,PHI,4372
Nickla SJensen,VAN,1798
Nicolas Deslauriers,BUF,4593
Nikita Kucherov,TB,7429
Nikita Nesterov,TB,4196
Nikita Nikitin,EDM,3527
Nikita Zadorov,BUF,4279
Niklas Hjalmarsson,CHI,3788
Niklas Kronwall,DET,5737
Nikolay Kulemin,NYI,4995
Nino Niederreiter,MIN,4871
Oliver Ekman-Larsson,ARI,5281
Olli Jokinen,NSH,3010
Olli Maatta,PIT,5053
Ondrej Palat,TB,7451
Oscar Klefbom,EDM,2769
P a  Parenteau,MTL,4189
P k  Subban,MTL,6525
Pascal Dupuis,PIT,6755
Patric Hornqvist,PIT,7067
Patrice Bergeron,BOS,5968
Patrick Brown,CAR,1752
Patrick Dwyer,CAR,3898
Patrick Eaves,DAL,4746
Patrick Kaleta,BUF,3013
Patrick Kane,CHI,8265
Patrick Marleau, SJ,5696
Patrick Maroon,ANA,4944
Patrick Sharp,CHI,5996
Patrick Wiercioch,OTT,2786
Patrik Berglund,STL,3911
Patrik Elias,NJ,5962
Patrik Nemeth,DAL,1858
Paul Byron,CGY,4041
Paul Carey,COL,1722
Paul Gaustad,NSH,4240
Paul Martin,PIT,4201
Paul Postma,WPG,2606
Paul Stastny,STL,5783
Pavel Datsyuk,DET,7988
Peter Harrold,NJ,2835
Peter Holland,TOR,5465
Peter Regin,CHI,3601
Petteri Lindbohm,STL,2610
Phil Kessel,TOR,8101
Philip Samuelsson,ARI,1811
Philip Varone,BUF,3977
Pierre-Edouard Bellemar,PHI,3247
R j  Umberger,PHI,4502
Radim Vrbata,VAN,6728
Radko Gudas,TB,3075
Raphael Diaz,CGY,2178
Rasmus Ristolainen,BUF,4402
Reid Boucher,NJ,1773
Reilly Smith,BOS,4164
Rene Bourque,MTL/ANA,3636
Richard Panik,TOR,3206
Rick Nash,NYR,8435
Rickard Rakell,ANA,4215
Riley Nash,CAR,4364
Riley Sheahan,DET,4303
Rob Klinkhammer,ARI/PIT/EDM,3170
Rob Scuderi,PIT,3552
RoberTBortuzzo,PIT,3909
Robyn Regehr,L A,3775
Rocco Grimaldi,FLA,2881
RomaNJosi,NSH,6492
Roman Polak,TOR,4510
Ron Hainsey,CAR,3195
Ryan Callahan,TB,6784
Ryan Carter,MIN,4013
