Name,Team,Salary
Niklas Kronwall,DET,6006
Nikolay Kulemin,NYI,5325
Nino Niederreiter,MIN,5491
Oliver Ekman-Larsson,ARI,5595
Olli Jokinen,NSH,3828
Olli Maatta,PIT,4131
Ondrej Palat,TB,7145
Oscar Klefbom,EDM,2582
P a  Parenteau,MTL,4756
P k  Subban,MTL,6417
Pascal Dupuis,PIT,5151
Patric Hornqvist,PIT,6864
Patrice Bergeron,BOS,6606
Patrick Bordeleau,COL,753
Patrick Brown,CAR,1124
Patrick Dwyer,CAR,3945
Patrick Eaves,DAL,3964
Patrick Kaleta,BUF,2654
Patrick Kane,CHI,8353
Patrick Marleau,SJ,6483
Patrick Maroon,ANA,5448
Patrick Sharp,CHI,5962
Patrick Wiercioch,OTT,3054
Patrik Berglund,STL,4805
Patrik Elias,NJ,5401
Patrik Nemeth,DAL,1175
Paul Byron,CGY,4631
Paul Carey,COL,1014
Paul Gaustad,NSH,3892
Paul Martin,PIT,4162
Paul Postma,WPG,3710
Paul Stastny,STL,6044
Pavel Datsyuk,DET,7509
Peter Harrold,NJ,2176
Peter Holland,TOR,4963
Peter Regin,CHI,2253
Petteri Lindbohm,STL,1893
Phil Kessel,TOR,7834
Philip Samuelsson,ARI,1054
Philip Varone,BUF,2693
Phillip Danault,CHI,1132
Pierre-Edouard Bellemar,PHI,3979
R j  Umberger,PHI,4619
Radim Vrbata,VAN,6705
Radko Gudas,TB,3372
Raphael Diaz,CGY,2245
Rasmus Ristolainen,BUF,4166
Reid Boucher,NJ,1025
Reilly Smith,BOS,5461
Rene Bourque,MTL/ANA,3785
Richard Panik,TOR,3987
Rick Nash,NYR,8028
Rickard Rakell,ANA,4458
Riley Nash,CAR,5141
Riley Sheahan,DET,5433
Rob Klinkhammer,ARI/PIT/EDM,3690
Rob Scuderi,PIT,3807
RoberTBortuzzo,PIT,3377
Robyn Regehr,LA,3397
Rocco Grimaldi,FLA,2012
RomaNJosi,NSH,6301
Roman Polak,TOR,4024
Ron Hainsey,CAR,3833
Ryan Callahan,TB,6941
Ryan Carter,MIN,4327
Ryan Ellis,NSH,5130
Ryan Garbutt,DAL,5064
Ryan Getzlaf,ANA,8399
RyaNJohansen,CBJ,7913
Ryan Kesler,ANA,6373
Ryan Malone,NYR,1255
Ryan McDonagh,NYR,4719
Ryan Murphy,CAR,3234
Ryan Murray,CBJ,1178
Ryan Nugent-Hopkins,EDM,6164
Ryan O'reilly,COL,5928
Ryan Reaves,STL,3794
Ryan Spooner,BOS,1062
Ryan Stanton,VAN,3686
Ryan Strome,NYI,6669
Ryan Suter,MIN,5690
Ryan Wilson,COL,1021
Ryane Clowe,NJ,3060
Sam Carrick,TOR,1395
Sam Gagner,ARI,5486
Sam Reinhart,BUF,1811
Sami Vatanen,ANA,6327
Scott Gomez,NJ,5410
Scott Hannan,SJ,2888
Scott Harrington,PIT,1297
Scott Hartnell,CBJ,6362
Scott Laughton,PHI,3359
Scottie Upshall,FLA,4190
Sean Bergenheim,FLA,4930
Sean Collins,CBJ,2386
Sean Couturier,PHI,5559
Sean Monahan,CGY,6440
Sergei Gonchar,DAL/MTL,4186
Seth Griffith,BOS,4121
Seth Helgeson,NJ,2436
Seth Jones,NSH,4583
Shane Doan,ARI,5941
Shane O'brien,FLA,2157
