Name,Team,Salary
"Clayton  	Kershaw",LAD ,11300
"Travis   	Ishikawa",SF ,2500
"Dioner   	Navarro",TOR ,2200
"Gerald    	Laird",ARI ,2800
"Shane   	Victorino",BOS ,2300
"Chris   	Johnson",ATL ,2200
"Ben   	Zobrist",OAK ,3100
"John    	Jaso",TB ,2800
"Ryan    	Hanigan",BOS ,2200
"Hunter   	Pence",SF ,3200
"Jed   	Lowrie",HOU ,3400
"Brendan   	Ryan",NYY ,2200
"Nick   	Franklin",TB ,2200
"Randal   	Grichuk",STL ,2300
"Desmond   	Jennings",TB ,2500
"Jonathan   	Lucroy",MIL ,2900
"Scooter   	Gennett",MIL ,2300
"Jean    	Segura",MIL ,2800
"Tim    	Federowicz",SD ,2200
"Mitch   	Moreland",TEX ,2200
"Ryan   	Brett",TB ,3000
"Mike    	Olt",CHC ,2200
"Christian   	Yelich",MIA ,2900
"Anthony   	Rendon",WAS ,3900
"Matt    	Carpenter",STL ,4200
"Nate   	Freiman",OAK ,2200
"Joey   	Terdoslavich",ATL ,2200
"Oswaldo   	Arcia",MIN ,2700
"Ryan   	Rua",TEX ,2200
"Chase  	Whitley",NYY ,6300
"Yasiel   	Puig",LAD ,3600
"Jake   	Lamb",ARI ,3300
"Antoan    	Richardson",TEX ,2200
"Tommy   	La Stella",CHC ,2700
"Christian    	Vazquez",BOS ,2300
"	",,
"	",,
